id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
the-sandbox,45,SAND,The Sandbox,2064931926.2233226000000000,3000000000.0000000000000000,630303591.0312142083711656,12861589.8485741405157123,0.3052418256634804,0.0493978299856271,0.3018468495323333,https://etherscan.io/token/0x3845badAde8e6dFF049820680d1F14bD3903a5d0
eos,46,EOS,EOS,1103049756.2476000000000000,,627174783.6084076060201953,21414723.3595363589105048,0.5685824959899874,-1.6526988326446700,0.5773647433527580,https://bloks.io/
tezos,47,XTZ,Tezos,953181681.9311210000000000,,619176852.1396689959468170,3044975.0657007378340765,0.6495895419278652,-2.0001094715401897,0.6583638889063327,https://tzkt.io/
elrond-egld,48,EGLD,MultiversX,24184559.1898415400000000,31415926.0000000000000000,590253044.8040558780186653,3015446.5361641092612932,24.4061940583967817,-2.0896092918075651,24.6564162911914033,https://explorer.elrond.com/
bitcoin-sv,49,BSV,Bitcoin SV,19266076.6442390500000000,21000000.0000000000000000,588427299.3112489216391178,2376827.5558056134264293,30.5421446294931402,-2.8566195627087331,31.0318255470687507,https://bsvexplorer.io/
render-token,50,RNDR,Render Token,369614008.1087959400000000,536870912.0000000000000000,571218392.3041125333147337,944851.7448929202285095,1.5454457346648353,-0.5905148339442589,1.5567552264064750,https://etherscan.io/token/0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24
thorchain,51,RUNE,THORChain,335919476.0000000000000000,500000000.0000000000000000,562259644.5003320845147008,7528912.9405000465189636,1.6737929315546208,0.1462051936173194,1.6794000948909871,https://explorer.binance.org/asset/RUNE-B1A
decentraland,52,MANA,Decentraland,1893095370.6427295000000000,,558938197.0085027882345310,10232273.0647721801730807,0.2952509449213519,0.7757044604452868,0.2973193160183789,https://etherscan.io/token/decentraland
xinfin-network,53,XDC,XinFin Network,12293293518.5500000000000000,,544414531.5647811301035365,867166.2860675190094874,0.0442854903564521,-9.5527138229381499,0.0503766918214003,https://etherscan.io/token/0x41ab1b6fcbb2fa9dced81acbdec13ea6315f2bf2
fantom,54,FTM,Fantom,2803634835.5265927000000000,3175000000.0000000000000000,523837237.7468648955324591,10098007.2110414926015744,0.1868421775578613,-0.5597207914834601,0.1881649303358301,https://etherscan.io/token/0x4e15361fd6b4bb609fa63c81a2be19d873717870
neo,55,NEO,Neo,70538831.0000000000000000,100000000.0000000000000000,515414697.7317319395473103,7811155.4740867808002033,7.3068222201149313,-2.0552546749720414,7.3834064233691537,https://neotracker.io
injective-protocol,56,INJ,Injective,73005554.3300000000000000,100000000.0000000000000000,504305614.6019789163462005,4273326.5048585894052850,6.9077705008911329,-1.2669667019497245,6.9684280811760060,https://etherscan.io/token/0xe28b3b32b6c345a34ff64674606124dd5aceca30
kava,57,KAVA,Kava,776946274.0000000000000000,,482944284.0523601010986782,6193925.4327761802449632,0.6215928954340543,-0.7005273252323689,0.6210473929137770,https://www.mintscan.io/kava
ecash,58,XEC,eCash,19502429673093.0000000000000000,21000000000000.0000000000000000,467756928.3929095470143640,3164734.9789097580496782,0.0000239845463480,-0.8304815287327557,0.0000241472515370,https://explorer.bitcoinabc.org/
flow,59,FLOW,Flow,1036200000.0000000000000000,,466876370.8544345546400000,12597843.0135996655736510,0.4505658857888772,0.9509980459612058,0.4482871040752193,https://flowscan.org/
synthetix-network-token,60,SNX,Synthetix,233716733.4900000000000000,212424133.0000000000000000,459567710.5360593162776924,7650887.3416427035311076,1.9663449153747597,-0.5713510358251276,1.9733109485337428,https://etherscan.io/token/0xc011a72400e58ecd99ee497cf89e3775d4bd732f
curve-dao-token,61,CRV,Curve DAO Token,879241150.0000000000000000,3303030299.0000000000000000,450062095.8514432165193700,20536133.7458419001005546,0.5118756052892238,8.3289637180717562,0.5136078965450701,https://etherscan.io/token/0xD533a949740bb3306d119CC777fa900bA034cd52
zcash,62,ZEC,Zcash,16328268.7500000000000000,21000000.0000000000000000,437734985.1238128976697250,24141418.5211604724909516,26.8084137899685720,-4.7142356692399443,26.2521577258871314,https://explorer.zcha.in/
